City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
420,Keflavik,IS,51.8,64.0,-22.56,broken clouds,Hotel Keflavik
421,Fortuna,US,69.01,40.6,-124.16,scattered clouds,Super 8 by Wyndham Fortuna
422,Novomykolayivka,UA,64.99,47.98,35.91,clear sky,
423,Mehran,IR,73.4,33.12,46.16,few clouds,زائرسرای نور
425,Toyooka,JP,73.4,35.53,134.83,light rain,O Hotel Toyooka
426,Sakaiminato,JP,75.2,35.55,133.23,light rain,味処・民宿 まつや
427,Verkhoyansk,RU,68.67,67.54,133.38,scattered clouds,
428,Syracuse,IT,75.2,37.09,15.28,clear sky,Hotel Posta
429,Hammerfest,NO,44.6,70.66,23.68,broken clouds,Skytterhuset
430,San Pedro De Ycuamandiyu,PY,51.48,-24.09,-57.08,clear sky,Hotel Refugio
431,Tilichiki,RU,52.18,60.47,166.1,overcast clouds,
432,Chiungutwa,TZ,65.8,-10.88,38.98,clear sky,
433,Baniyas,SY,75.2,35.18,35.95,scattered clouds,Soirée salon
434,Dunedin,NZ,51.01,-45.87,170.5,broken clouds,Scenic Hotel Southern Cross
